0	40	1	39	1
1	25	2	24	1
2	68	3	67	1
3	54	4	55	-1
4	16	5	15	1
16	6	17	5	1
6	74	7	73	1
7	70	8	71	-1
27	9	28	8	1
34	9	35	10	-1
10	35	11	36	-1
38	11	39	12	-1
12	24	13	23	1
13	65	14	64	1
14	59	15	60	-1
17	61	18	60	1
18	63	19	64	-1
19	28	20	29	-1
33	20	34	21	-1
21	32	22	33	-1
29	22	30	23	-1
25	40	26	41	-1
26	0	27	81	1
30	37	31	38	-1
36	31	37	32	-1
41	81	42	80	1
79	43	80	42	1
43	79	44	78	1
77	45	78	44	1
68	45	69	46	-1
46	52	47	51	1
52	48	53	47	1
75	48	76	49	-1
49	74	50	75	-1
50	54	51	53	1
58	55	59	56	-1
56	65	57	66	-1
66	57	67	58	-1
61	73	62	72	1
71	63	72	62	1
69	77	70	76	1
