0	56	1	55	1
1	38	2	39	-1
2	26	3	25	1
3	62	4	63	-1
63	4	64	5	-1
5	73	6	72	1
6	12	7	11	1
7	51	8	50	1
49	9	50	8	1
42	9	43	10	-1
10	41	11	42	-1
73	13	74	12	1
13	16	14	17	-1
31	15	32	14	1
15	31	16	30	1
74	17	75	18	-1
18	45	19	46	-1
46	19	47	20	-1
20	52	21	51	1
48	22	49	21	1
43	22	44	23	-1
70	24	71	23	1
39	25	40	24	1
26	35	27	36	-1
36	27	37	28	-1
61	29	62	28	1
64	29	65	30	-1
67	33	68	32	1
56	33	57	34	-1
34	37	35	38	-1
71	40	72	41	-1
53	45	54	44	1
52	47	53	48	-1
54	69	55	70	-1
60	58	61	57	1
58	66	59	65	1
66	60	67	59	1
68	0	69	75	1
