159	32	0	33	-1
31	0	32	1	-1
146	2	147	1	1
2	121	3	122	-1
122	3	123	4	-1
45	5	46	4	1
14	6	15	5	1
127	7	128	6	1
7	93	8	92	1
93	9	94	8	1
126	9	127	10	-1
10	125	11	126	-1
11	97	12	96	1
97	13	98	12	1
13	125	14	124	1
15	128	16	129	-1
37	16	38	17	-1
152	17	153	18	-1
111	18	112	19	-1
50	19	51	20	-1
77	20	78	21	-1
21	106	22	107	-1
75	23	76	22	1
134	24	135	23	1
24	136	25	135	1
108	25	109	26	-1
26	109	27	110	-1
136	28	137	27	1
139	28	140	29	-1
34	30	35	29	1
30	132	31	131	1
33	132	34	133	-1
35	148	36	149	-1
36	47	37	48	-1
38	69	39	70	-1
58	39	59	40	-1
40	59	41	60	-1
41	100	42	101	-1
42	90	43	89	1
64	43	65	44	-1
44	124	45	123	1
46	129	47	130	-1
151	48	152	49	-1
110	49	111	50	-1
51	79	52	78	1
155	53	156	52	1
82	54	83	53	1
54	84	55	83	1
116	56	117	55	1
85	57	86	56	1
57	70	58	71	-1
60	101	61	102	-1
88	61	89	62	-1
62	144	63	143	1
144	64	145	63	1
98	65	99	66	-1
95	67	96	66	1
67	95	68	94	1
68	91	69	92	-1
86	71	87	72	-1
117	72	118	73	-1
156	73	157	74	-1
105	75	106	74	1
107	76	108	77	-1
112	80	113	79	1
80	153	81	154	-1
81	115	82	114	1
115	85	116	84	1
87	102	88	103	-1
99	90	100	91	-1
118	103	119	104	-1
157	104	158	105	-1
154	114	155	113	1
142	119	143	120	-1
120	145	121	146	-1
147	130	148	131	-1
140	134	141	133	1
150	138	151	137	1
138	150	139	149	1
158	142	159	141	1
