271	138	0	139	-1
141	0	142	1	-1
1	144	2	145	-1
201	2	202	3	-1
150	3	151	4	-1
205	5	206	4	1
216	5	217	6	-1
81	7	82	6	1
7	81	8	80	1
8	217	9	218	-1
9	76	10	77	-1
219	10	220	11	-1
11	220	12	221	-1
85	12	86	13	-1
13	86	14	87	-1
14	226	15	225	1
90	15	91	16	-1
16	91	17	92	-1
17	154	18	155	-1
155	18	156	19	-1
19	156	20	157	-1
20	227	21	228	-1
230	21	231	22	-1
93	22	94	23	-1
160	23	161	24	-1
24	95	25	96	-1
96	25	97	26	-1
26	97	27	98	-1
27	234	28	235	-1
237	28	238	29	-1
29	101	30	100	1
30	167	31	168	-1
102	32	103	31	1
239	33	240	32	1
33	241	34	240	1
169	34	170	35	-1
104	35	105	36	-1
243	37	244	36	1
37	245	38	244	1
245	39	246	38	1
176	40	177	39	1
111	41	112	40	1
41	115	42	114	1
249	42	250	43	-1
43	179	44	178	1
179	45	180	44	1
45	250	46	251	-1
115	47	116	46	1
47	185	48	184	1
185	49	186	48	1
49	187	50	186	1
121	50	122	51	-1
51	255	52	254	1
255	53	256	52	1
122	54	123	53	1
54	124	55	123	1
55	257	56	256	1
125	57	126	56	1
57	127	58	126	1
129	59	130	58	1
192	60	193	59	1
261	61	262	60	1
61	265	62	264	1
62	196	63	195	1
196	64	197	63	1
64	132	65	131	1
132	66	133	65	1
66	265	67	266	-1
268	67	269	68	-1
68	136	69	135	1
270	70	271	69	1
70	137	71	138	-1
142	71	143	72	-1
72	143	73	144	-1
202	73	203	74	-1
151	74	152	75	-1
75	204	76	205	-1
218	77	219	78	-1
209	78	210	79	-1
79	208	80	209	-1
82	208	83	207	1
210	84	211	83	1
221	85	222	84	1
222	87	223	88	-1
88	223	89	224	-1
224	89	225	90	-1
159	93	160	92	1
94	162	95	161	1
235	99	236	98	1
99	237	100	236	1
166	102	167	101	1
103	169	104	168	1
170	106	171	105	1
106	172	107	171	1
172	108	173	107	1
108	241	109	242	-1
109	175	110	174	1
175	111	176	110	1
112	248	113	247	1
248	114	249	113	1
116	252	117	251	1
180	117	181	118	-1
118	181	119	182	-1
182	119	183	120	-1
253	121	254	120	1
257	124	258	125	-1
127	190	128	191	-1
191	128	192	129	-1
130	197	131	198	-1
266	134	267	133	1
134	268	135	267	1
136	269	137	270	-1
198	139	199	140	-1
140	199	141	200	-1
200	145	201	146	-1
211	146	212	147	-1
147	212	148	213	-1
213	148	214	149	-1
149	214	150	215	-1
152	203	153	204	-1
226	153	227	154	-1
228	158	229	157	1
158	230	159	229	1
231	163	232	162	1
163	233	164	232	1
233	165	234	164	1
165	239	166	238	1
242	174	243	173	1
177	247	178	246	1
252	184	253	183	1
258	187	259	188	-1
188	259	189	260	-1
260	189	261	190	-1
193	262	194	263	-1
263	194	264	195	-1
215	206	216	207	-1
